dm10849 FBgn0058122
dm8252 FBgn0027600
dm10701 FBgn0051287
dm11641 FBgn0010348
dm10841 FBgn0069242
dm10843 FBgn0010041
dm10842 FBgn0003449
dm10845 FBgn0051858
dm11866 FBgn0053468
dm10847 FBgn0029813
dm8832 FBgn0023525
dm98 FBgn0031981
dm99 FBgn0003137
dm4979 FBgn0086704
dm4978 FBgn0051002
dm92 FBgn0028371
dm93 FBgn0038693
dm90 FBgn0039633
dm91 FBgn0034662
dm97 FBgn0031857
dm94 FBgn0052311
dm95 FBgn0053547
dm1170 FBgn0004406
dm8254 FBgn0030933
dm11588 FBgn0037728
dm11863 FBgn0035548
dm1172 FBgn0026259
dm1173 FBgn0017581
dm1174 FBgn0034568
dm1175 FBgn0037249
dm4549 FBgn0037994
dm1176 FBgn0260962
dm11868 FBgn0052345
dm10844 FBgn0038281
dm1178 FBgn0052533
dm7440 FBgn0086910
dm7441 FBgn0036075
dm7446 FBgn0035372
dm7444 FBgn0029851
dm1179 FBgn0051291
dm7448 FBgn0031621
dm7449 FBgn0030811
dm12542 FBgn0039811
dm7054 FBgn0030864
dm11409 FBgn0034461
dm12543 FBgn0053137
dm4977 FBgn0035371
dm1605 FBgn0023509
dm1602 FBgn0051612
dm12540 FBgn0052824
dm2858 FBgn0029891
dm12192 FBgn0039735
dm4975 FBgn0015805
dm1603 FBgn0034180
dm11469 FBgn0039980
dm12997 FBgn0030283
dm5519 FBgn0035329
dm12991 FBgn0035444
dm12990 FBgn0036871
dm12993 FBgn0030294
dm12992 FBgn0000551
dm8072 FBgn0035868
dm4973 FBgn0038768
dm8070 FBgn0030495
dm8076 FBgn0004170
dm8077 FBgn0038550
dm5514 FBgn0034182
dm5515 FBgn0004055
dm10593 FBgn0086656
dm10592 FBgn0052036
dm10591 FBgn0015324
dm10590 FBgn0036641
dm10597 FBgn0040466
dm10596 FBgn0262029
dm10595 FBgn0029508
dm10594 FBgn0038400
dm12541 FBgn0085424
dm10599 FBgn0036740
dm664 FBgn0030815
dm12222 FBgn0050481
dm12221 FBgn0039129
dm12546 FBgn0038781
dm4542 FBgn0052855
dm11521 FBgn0250845
dm3207 FBgn0051231
dm12547 FBgn0069936
dm9093 FBgn0039689
dm4543 FBgn0027562
dm7053 FBgn0034389
dm9679 FBgn0037490
dm9678 FBgn0036058
dm9673 FBgn0083431
dm9672 FBgn0052177
dm9671 FBgn0035936
dm9676 FBgn0038479
dm9675 FBgn0050398
dm9674 FBgn0035815
dm5163 FBgn0032514
dm5162 FBgn0003300
dm5161 FBgn0031343
dm5160 FBgn0023423
dm6036 FBgn0051259
dm5166 FBgn0035344
dm5165 FBgn0032268
dm5164 FBgn0038095
dm10337 FBgn0035839
